source_type,chunk_id,ingredient_id,ingredient_name,linkage_type,action,note
pubmed_abstract,PMID:10021493:abstract:0,578433aa-82cf-4857-ad6b-d6196300a219,Oleic Acid,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:10522500:abstract:0,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:10965426:abstract:0,71c52574-f2b2-4fb2-a738-8bf0bc4cd7c5,Dexpanthenol,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:12190621:abstract:0,c78dfd19-39f6-4b68-aac9-c59051713807,Ceramide NP,NEW_DOCUMENT,EXISTS,canonical evidence_chunk_ingredient에 동일 chunk+ingredient 조합이 이미 있음
pubmed_abstract,PMID:12562345:abstract:0,8f45539c-d042-45f6-acb1-2a654e954a76,Retinol,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:12823436:abstract:0,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:1303072:abstract:0,435c3a54-86e4-4934-a706-e42dbb0f684a,Gluconolactone,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:14641355:abstract:0,71c52574-f2b2-4fb2-a738-8bf0bc4cd7c5,Dexpanthenol,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:15022655:abstract:0,a1100045-b0da-49ce-8d66-42195f0d3b2f,Beeswax,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:15304189:abstract:0,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:15689218:abstract:0,30922d12-a004-48c3-89a0-05beb2df6292,Sea Salt,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:16029679:abstract:0,93bd6d73-d9f2-460b-9b0e-1d99b0e7dbe4,Niacinamide,NEW_DOCUMENT,EXISTS,canonical evidence_chunk_ingredient에 동일 chunk+ingredient 조합이 이미 있음
pubmed_abstract,PMID:16766489:abstract:0,93bd6d73-d9f2-460b-9b0e-1d99b0e7dbe4,Niacinamide,NEW_DOCUMENT,EXISTS,canonical evidence_chunk_ingredient에 동일 chunk+ingredient 조합이 이미 있음
pubmed_abstract,PMID:17348991:abstract:0,536a5712-cc8e-4a31-88b0-dff09d42124e,Acetyl Glucosamine,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:17515510:abstract:0,8f45539c-d042-45f6-acb1-2a654e954a76,Retinol,NEW_DOCUMENT,EXISTS,canonical evidence_chunk_ingredient에 동일 chunk+ingredient 조합이 이미 있음
pubmed_abstract,PMID:18452433:abstract:0,12a76878-9453-49c9-994b-a70527551768,Asiaticoside,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:18503551:abstract:0,1686c2b6-b430-4de8-9dab-aab190de2005,Madecassoside,NEW_DOCUMENT,EXISTS,canonical evidence_chunk_ingredient에 동일 chunk+ingredient 조합이 이미 있음
pubmed_abstract,PMID:19134126:abstract:0,f3761c63-d931-420d-8cb2-eecf9d787631,Sodium Ascorbyl Phosphate,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:19146601:abstract:0,1e6a30aa-d018-4389-93fb-ac972c0f2f8f,Capryloyl Salicylic Acid,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:19239556:abstract:0,053b2c8b-8758-47a3-90d0-ee8afa07846a,Rosmarinic Acid,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
pubmed_abstract,PMID:19753737:abstract:0,71c52574-f2b2-4fb2-a738-8bf0bc4cd7c5,Dexpanthenol,NEW_DOCUMENT,INSERT,canonical에 없는 신규 link
